customer_name,hostname,family,ndi,cbp_cnt,fn_cnt,eox_cnt,psirt_cnt,ccf_cnt,cna_cnt,slg_cnt,siar_cnt
BOA,ALHUVWD01R01,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,ALHUVWD01VAR01,3800,0.233436891,1,1,0,0,0,0,0,0
BOA,ALLAEGS01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,ALMDIHR01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,ALMGYCR05IDE01,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ALMGYCR05IDE02,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ALMGYCR05IDE03,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ALMGYCR05R01,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,ALMGYCR05VAR01,3800,0.233436891,1,1,0,0,0,0,0,0
BOA,ALMOIDS01IDE01,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ALMOIDS01IDE02,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ALMOIDS01R01,3800,0.233436891,1,1,1,0,0,0,0,0
BOA,ALMOIDS01VAR01,2800,0.286385564,1,1,0,0,0,0,0,0
BOA,ARARBUABT11IDE02,C3560,0.22353965,1,1,0,0,0,0,0,0
BOA,ARARBUABT28FWAS01,3800,0.233436891,1,1,0,0,0,0,0,0
BOA,ARARBUABT28FWRM01,C3750,0.333071693,1,1,0,0,0,0,0,0
BOA,ARARBUABT28FWRM02,C3750,0.333071693,1,1,0,0,0,0,0,0
BOA,ARARBUABT28R01,3800,0.233436891,1,1,0,0,0,0,0,0
BOA,ARARBUABT28R02,3800,0.233436891,1,1,0,0,0,0,0,0
BOA,ARARBUABT28SDM01,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARARBUABT28SDM02,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARARBUABT28VDM01,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARARBUABT28VDM02,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARARBUABT28VTR51,3800,0.233436891,1,1,0,0,0,0,0,0
BOA,ARARBUAEB01IDE01,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARARBUAEB01R01,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,ARARBUEBT11IDE01,C3560,0.22353965,1,0,0,0,0,0,0,0
BOA,ARARBUEBT28BDM01,C3560,0.22353965,1,0,0,0,0,0,0,0
BOA,ARARBUEBT28BDM02,C3560,0.22353965,1,0,0,0,0,0,0,0
BOA,ARARBUEBT28SDM01,C3560,0.22353965,1,0,0,0,0,0,0,0
BOA,ARARBUEBT28SDM02,C3560,0.22353965,2,0,0,0,0,0,0,0
BOA,ARBNESW01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARBUEBT010RTNE01,2600,0.435298057,1,0,1,0,0,0,0,0
BOA,ARBUEBT010RTWN01,2800,0.286385564,0,1,0,0,0,0,0,0
BOA,ARBUEBT010RTWN02,2800,0.286385564,1,1,0,0,0,0,0,0
BOA,ARBUEBT010SWAS02,C3560,0.22353965,1,1,0,0,0,0,0,0
BOA,ARBUEBT010SWCR01,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARBUEBT010SWCR02,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARCWYEO01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,ARFAYDS01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARFAYEC01IDE01,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARFAYGA01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,ARFAYJS01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARFAYNG01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,ARFAYST01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARFTSOG01IDE01,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARFTSOG01IDE02,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARFTSOG01R01,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,ARFTSOG01VAR01,2800,0.286385564,1,1,0,0,0,0,0,0
