self,"[0.7686188567490316, 1.3625423823502801e-35]","[0.8201787019539205, 4.645570377819847e-44]","[0.5255636481491565, 6.919797172242415e-14]","[0.39493549772577313, 5.821099572075451e-08]","[0.3259686950147853, 1.0108508570341692e-05]"
"[0.7686188567490316, 1.3625423823502801e-35]",self,"[0.8035900509874524, 4.611878114443041e-41]","[0.4690421221338428, 5.1723042941007833e-11]","[0.4810446221798568, 1.402009003200816e-11]","[0.3057179243314114, 3.6891397931203827e-05]"
"[0.8201787019539205, 4.645570377819847e-44]","[0.8035900509874524, 4.611878114443041e-41]",self,"[0.46701531359577453, 6.416025418453336e-11]","[0.40411205629672287, 2.6666870809895282e-08]","[0.4354482754963414, 1.542654875158212e-09]"
"[0.5255636481491565, 6.919797172242415e-14]","[0.4690421221338428, 5.1723042941007833e-11]","[0.46701531359577453, 6.416025418453336e-11]",self,"[0.4750515276171187, 2.7075959036177922e-11]","[0.3859340895102701, 1.223828680759754e-07]"
"[0.39493549772577313, 5.821099572075451e-08]","[0.4810446221798568, 1.402009003200816e-11]","[0.40411205629672287, 2.6666870809895282e-08]","[0.4750515276171187, 2.7075959036177922e-11]",self,"[0.4590764719084845, 1.4722058733344826e-10]"
"[0.3259686950147853, 1.0108508570341692e-05]","[0.3057179243314114, 3.6891397931203827e-05]","[0.4354482754963414, 1.542654875158212e-09]","[0.3859340895102701, 1.223828680759754e-07]","[0.4590764719084845, 1.4722058733344826e-10]",self
